,Person,Platform,Movie,RR,EDA
0,3.0,1.0,1.0,0.91273967,3.1153
0,3.0,1.0,1.0,0.88564854,3.1123
0,3.0,1.0,1.0,0.93244386,3.1078
0,3.0,1.0,1.0,0.88218037,3.1048
0,3.0,1.0,1.0,0.87873108,3.0988
0,3.0,1.0,1.0,0.90187231,3.0928
0,3.0,1.0,1.0,0.86190878,3.0913
0,3.0,1.0,1.0,0.86805556,3.0838
0,3.0,1.0,1.0,0.99393858,3.0793
0,3.0,1.0,1.0,1.0275407,3.0823
0,3.0,1.0,1.0,0.99421182,3.0748
0,3.0,1.0,1.0,1.0471568,3.0718
0,3.0,1.0,1.0,1.0733398,3.0718
0,3.0,1.0,1.0,1.0222903,3.0688
0,3.0,1.0,1.0,1.0013851,3.0643
0,3.0,1.0,1.0,1.051533,3.0583
0,3.0,1.0,1.0,1.0299479,3.0553
0,3.0,1.0,1.0,0.96065965,3.0523
0,3.0,1.0,1.0,0.99291806,3.0478
0,3.0,1.0,1.0,0.8942534,3.0448
0,3.0,1.0,1.0,0.85565476,3.0433
0,3.0,1.0,1.0,0.95928289,3.0448
0,3.0,1.0,1.0,0.92984069,3.0433
0,3.0,1.0,1.0,0.97231658,3.0388
0,3.0,1.0,1.0,1.0910692,3.0328
0,3.0,1.0,1.0,0.98541302,3.0283
0,3.0,1.0,1.0,0.9942391,3.0238
0,3.0,1.0,1.0,1.0421606,3.0223
0,3.0,1.0,1.0,0.96527939,3.0193
0,3.0,1.0,1.0,0.93705498,3.0133
0,3.0,1.0,1.0,0.93832663,3.0103
0,3.0,1.0,1.0,0.83740234,3.0058
0,3.0,1.0,1.0,0.959756,3.0013
0,3.0,1.0,1.0,1.071442,2.9968
0,3.0,1.0,1.0,0.9385147,2.9908
0,3.0,1.0,1.0,0.88694246,2.9893
0,3.0,1.0,1.0,0.94042969,2.9863
0,3.0,1.0,1.0,0.95144182,2.9788
0,3.0,1.0,1.0,0.96460904,2.9773
0,3.0,1.0,1.0,1.1017236,2.9743
0,3.0,1.0,1.0,0.94924878,2.9728
0,3.0,1.0,1.0,0.80024246,2.9698
0,3.0,1.0,1.0,0.94776241,2.9653
0,3.0,1.0,1.0,1.1208167,2.9623
0,3.0,1.0,1.0,1.0484134,2.9593
0,3.0,1.0,1.0,0.94401042,2.9563
0,3.0,1.0,1.0,1.0318887,2.9563
0,3.0,1.0,1.0,0.99162946,2.9518
0,3.0,1.0,1.0,0.95777209,2.9488
0,3.0,1.0,1.0,1.070706,2.9428
0,3.0,1.0,1.0,1.0679798,2.9398
0,3.0,1.0,1.0,1.0143229,2.9398
0,3.0,1.0,1.0,1.0828929,2.9353
0,3.0,1.0,1.0,1.1170805,2.9308
0,3.0,1.0,1.0,1.0104868,2.9263
0,3.0,1.0,1.0,0.94628099,2.9278
0,3.0,1.0,1.0,0.96784489,2.9248
0,3.0,1.0,1.0,0.99384878,2.9218
0,3.0,1.0,1.0,0.86418131,2.9188
0,3.0,1.0,1.0,0.97766714,2.9158
0,3.0,1.0,1.0,1.0288915,2.9068
0,3.0,1.0,1.0,1.0121995,2.9083
0,3.0,1.0,1.0,1.006095,2.9053
0,3.0,1.0,1.0,1.0020813,2.8993
0,3.0,1.0,1.0,0.969125,2.8978
0,3.0,1.0,1.0,0.97063079,2.8933
0,3.0,1.0,1.0,1.0260417,2.8903
0,3.0,1.0,1.0,0.99691612,2.8843
0,3.0,1.0,1.0,0.94130479,2.8828
0,3.0,1.0,1.0,1.06048,2.8783
0,3.0,1.0,1.0,1.0876858,2.8753
0,3.0,1.0,1.0,0.98944418,2.8723
0,3.0,1.0,1.0,0.90513393,2.8693
0,3.0,1.0,1.0,0.97377944,2.8663
0,3.0,1.0,1.0,0.92047136,2.8618
0,3.0,1.0,1.0,0.94788209,2.8588
0,3.0,1.0,1.0,1.015873,2.8603
0,3.0,1.0,1.0,0.98768365,2.8573
0,3.0,1.0,1.0,0.95716311,2.8573
0,3.0,1.0,1.0,0.97549716,2.8558
0,3.0,1.0,1.0,0.89125759,2.8543
0,3.0,1.0,1.0,0.89891209,2.8468
0,3.0,1.0,1.0,0.98907239,2.8453
0,3.0,1.0,1.0,0.91090102,2.8438
0,3.0,1.0,1.0,0.93020148,2.8408
0,3.0,1.0,1.0,0.94526347,2.8363
0,3.0,1.0,1.0,0.86242509,2.8348
0,3.0,1.0,1.0,0.97344064,2.8303
0,3.0,1.0,1.0,0.94717188,2.8258
0,3.0,1.0,1.0,0.88734879,2.8198
0,3.0,1.0,1.0,0.9891183,2.8183
0,3.0,1.0,1.0,0.95225184,2.8153
0,3.0,1.0,1.0,0.91628975,2.8138
0,3.0,1.0,1.0,1.0041484,2.8093
0,3.0,1.0,1.0,0.96639754,2.8078
0,3.0,1.0,1.0,0.90536685,2.8048
0,3.0,1.0,1.0,0.99435019,2.7958
0,3.0,1.0,1.0,1.006614,2.7928
0,3.0,1.0,1.0,0.93373162,2.7928
0,3.0,1.0,1.0,1.0035516,2.7898
0,3.0,1.0,1.0,1.0422403,2.7853
0,3.0,1.0,1.0,0.97285332,2.7808
0,3.0,1.0,1.0,1.0011299,2.7793
0,3.0,1.0,1.0,1.0283315,2.7763
0,3.0,1.0,1.0,0.94081439,2.7763
0,3.0,1.0,1.0,0.97403691,2.7703
0,3.0,1.0,1.0,1.0112881,2.7703
0,3.0,1.0,1.0,0.98108474,2.7673
0,3.0,1.0,1.0,0.99838416,2.7688
0,3.0,1.0,1.0,1.0780186,2.7643
0,3.0,1.0,1.0,0.96422991,2.7628
0,3.0,1.0,1.0,0.96211269,2.7598
0,3.0,1.0,1.0,1.0051299,2.7553
0,4.0,1.0,1.0,0.77687027,1.7128
0,4.0,1.0,1.0,0.78966496,1.7113
0,4.0,1.0,1.0,0.76006389,1.7098
0,4.0,1.0,1.0,0.76792869,1.7068
0,4.0,1.0,1.0,0.80779345,1.7053
0,4.0,1.0,1.0,0.79769737,1.7038
0,4.0,1.0,1.0,0.74864635,1.7023
0,4.0,1.0,1.0,0.77422268,1.6993
0,4.0,1.0,1.0,0.77658642,1.6978
0,4.0,1.0,1.0,0.74220693,1.6978
0,4.0,1.0,1.0,0.77246589,1.6963
0,4.0,1.0,1.0,0.79635028,1.6933
0,4.0,1.0,1.0,0.76015248,1.6933
0,4.0,1.0,1.0,0.77852151,1.6918
0,4.0,1.0,1.0,0.7982279,1.6903
0,4.0,1.0,1.0,0.77026247,1.6873
0,4.0,1.0,1.0,0.76428918,1.6873
0,4.0,1.0,1.0,0.79978554,1.6858
0,4.0,1.0,1.0,0.80742939,1.6843
0,4.0,1.0,1.0,0.77185595,1.6828
0,4.0,1.0,1.0,0.80347938,1.6828
0,4.0,1.0,1.0,0.79950495,1.6813
0,4.0,1.0,1.0,0.81605943,1.6783
0,4.0,1.0,1.0,0.76583667,1.6783
0,4.0,1.0,1.0,0.79312269,1.6753
0,4.0,1.0,1.0,0.82521845,1.6768
0,4.0,1.0,1.0,0.82630085,1.6753
0,4.0,1.0,1.0,0.78980302,1.6738
0,4.0,1.0,1.0,0.81052715,1.6723
0,4.0,1.0,1.0,0.81999778,1.6708
0,4.0,1.0,1.0,0.78338415,1.6693
0,4.0,1.0,1.0,0.74162371,1.6678
0,4.0,1.0,1.0,0.74399671,1.6678
0,4.0,1.0,1.0,0.78659437,1.6678
0,4.0,1.0,1.0,0.77658957,1.6648
0,4.0,1.0,1.0,0.76227395,1.6633
0,4.0,1.0,1.0,0.79178914,1.6618
0,4.0,1.0,1.0,0.80655488,1.6603
0,4.0,1.0,1.0,0.76968149,1.6603
0,4.0,1.0,1.0,0.81276292,1.6588
0,4.0,1.0,1.0,0.82133557,1.6573
0,4.0,1.0,1.0,0.7961715,1.6558
0,4.0,1.0,1.0,0.76271524,1.6558
0,4.0,1.0,1.0,0.79012608,1.6543
0,4.0,1.0,1.0,0.81350015,1.6528
0,4.0,1.0,1.0,0.79256146,1.6498
0,4.0,1.0,1.0,0.79097577,1.6513
0,4.0,1.0,1.0,0.80582524,1.6498
0,4.0,1.0,1.0,0.80338542,1.6483
0,4.0,1.0,1.0,0.77447385,1.6468
0,4.0,1.0,1.0,0.77791016,1.6468
0,4.0,1.0,1.0,0.76846591,1.6438
0,4.0,1.0,1.0,0.73294891,1.6438
0,4.0,1.0,1.0,0.74905494,1.6423
0,4.0,1.0,1.0,0.76652644,1.6408
0,4.0,1.0,1.0,0.7737069,1.6393
0,4.0,1.0,1.0,0.75878906,1.6378
0,4.0,1.0,1.0,0.79371921,1.6378
0,4.0,1.0,1.0,0.7971784,1.6363
0,4.0,1.0,1.0,0.76765625,1.6348
0,4.0,1.0,1.0,0.77512887,1.6333
0,4.0,1.0,1.0,0.796875,1.6333
0,4.0,1.0,1.0,0.77855009,1.6303
0,4.0,1.0,1.0,0.75953287,1.6303
0,4.0,1.0,1.0,0.75865818,1.6288
0,4.0,1.0,1.0,0.77046875,1.6273
0,4.0,1.0,1.0,0.72456868,1.6243
0,4.0,1.0,1.0,0.7431949,1.6243
0,4.0,1.0,1.0,0.77821621,1.6228
0,4.0,1.0,1.0,0.74724831,1.6213
0,4.0,1.0,1.0,0.70703125,1.6198
0,4.0,1.0,1.0,0.7281376,1.6198
0,4.0,1.0,1.0,0.76075785,1.6183
0,4.0,1.0,1.0,0.70718316,1.6168
0,4.0,1.0,1.0,0.7727217,1.6138
0,4.0,1.0,1.0,0.81884527,1.6138
0,4.0,1.0,1.0,0.77391884,1.6123
0,4.0,1.0,1.0,0.75024671,1.6108
0,4.0,1.0,1.0,0.77195035,1.6093
0,4.0,1.0,1.0,0.75558318,1.6078
0,4.0,1.0,1.0,0.73730469,1.6063
0,4.0,1.0,1.0,0.81567503,1.6048
0,4.0,1.0,1.0,0.82575924,1.6033
0,4.0,1.0,1.0,0.76568479,1.6033
0,4.0,1.0,1.0,0.77702649,1.6018
0,4.0,1.0,1.0,0.80235914,1.6003
0,4.0,1.0,1.0,0.7755699,1.5988
0,4.0,1.0,1.0,0.76616311,1.5973
0,4.0,1.0,1.0,0.77643163,1.5958
0,4.0,1.0,1.0,0.78231887,1.5958
0,4.0,1.0,1.0,0.71904721,1.5928
0,4.0,1.0,1.0,0.77631787,1.5913
0,4.0,1.0,1.0,0.79916016,1.5898
0,4.0,1.0,1.0,0.75566123,1.5913
0,4.0,1.0,1.0,0.73598346,1.5883
0,4.0,1.0,1.0,0.77677704,1.5868
0,4.0,1.0,1.0,0.80990225,1.5853
0,4.0,1.0,1.0,0.73742936,1.5853
0,4.0,1.0,1.0,0.77063301,1.5838
0,4.0,1.0,1.0,0.78710938,1.5823
0,4.0,1.0,1.0,0.77655857,1.5808
0,4.0,1.0,1.0,0.74962798,1.5808
0,4.0,1.0,1.0,0.79363952,1.5793
0,4.0,1.0,1.0,0.8117415,1.5778
0,4.0,1.0,1.0,0.76897605,1.5763
0,4.0,1.0,1.0,0.7673589,1.5763
0,4.0,1.0,1.0,0.78702015,1.5733
0,4.0,1.0,1.0,0.79584099,1.5733
0,4.0,1.0,1.0,0.73580309,1.5718
0,4.0,1.0,1.0,0.78801546,1.5718
0,4.0,1.0,1.0,0.81887136,1.5703
0,4.0,1.0,1.0,0.77077415,1.5688
0,4.0,1.0,1.0,0.77110994,1.5688
0,4.0,1.0,1.0,0.815752,1.5673
0,4.0,1.0,1.0,0.76840195,1.5658
0,4.0,1.0,1.0,0.75491823,1.5658
0,4.0,1.0,1.0,0.76691366,1.5643
0,4.0,1.0,1.0,0.75962753,1.5643
0,4.0,1.0,1.0,0.7234933,1.5628
0,4.0,1.0,1.0,0.76729061,1.5613
0,4.0,1.0,1.0,0.71420599,1.5613
0,4.0,1.0,1.0,0.64794922,1.5583
0,4.0,1.0,1.0,0.65925854,1.5598
0,4.0,1.0,1.0,0.80267636,1.5583
0,4.0,1.0,1.0,0.78442268,1.5583
0,4.0,1.0,1.0,0.71975213,1.5568
0,4.0,1.0,1.0,0.75738747,1.5538
0,4.0,1.0,1.0,0.77583677,1.5553
0,4.0,1.0,1.0,0.72646484,1.5538
0,4.0,1.0,1.0,0.746875,1.5523
0,4.0,1.0,1.0,0.81329719,1.5523
0,4.0,1.0,1.0,0.82036601,1.5508
